index,text,response,gemini
78,A news woman is speaking,,"""And in local news tonight..."" 
"
79,A person is using a vacuum,,"to clean the carpet. 
"
80,A young girl is seen sitting in front of a,,"mirror, braiding her hair. 
"
81,Two people are seen standing,,"on a deserted island. 
"
82,Athletes throw a javelin,,"for distance. 
"
83,A group of senior citizens,,"played bingo at the community center. 
"
84,"A woman in blue shirt is chopping the wood, when she chopped the wood in",,"half. 
"
85,Various shots of people are shown followed,,"by a wide shot of the city skyline. 
"
86,A man then speakers to various kids on a court,,"about their basketball skills. 
"
87,A group of several teen boys are,,"playing basketball in the park. 
"
88,A guy wearing a red plaid shirt is showing a tutorial,,"on how to build a bookshelf. 
"
89,He then demonstrates how to fertile the trees,,"with compost and mulch. 
"
90,We see an,,"eagle soaring above the clouds. 
"
91,We see see man run with a,,"dog. 
"
92,The man knocks the pole down,,"with a loud crash. 
"
93,The man tries a third time,,"to start his sputtering car. 
"
94,A woman washes a pot with soapy water while standing,,"at her kitchen sink. 
"
95,The woman turns and talks to the camera while washing the pot,,", breaking the fourth wall. 
"
96,A man in red in outside screwing in his,,"lightbulb. 
"
97,He grabs pieces to tighten it and begins,,"to twist them together. 
"
98,The video begins with a closeup of,,"a sunflower swaying in the wind. 
"
99,The man puts down the camera,,"and smiles. 
"
100,A woman is seen holding onto,,"a bouquet of vibrant sunflowers. 
"
101,A man is seen talking to the camera as he sets up,,"a telescope on a mountaintop. 
"
102,After lining up the ski and securing it on the bench he uses,,"a file to sharpen the edge. 
"
103,A grooming room is shown and,,"a dog looks apprehensive. 
"
104,Other rooms are shown and the dogs continue being groomed,,"as the competition progresses. 
"
105,Cars drive by a,,"stop sign. 
"
106,A camera pans around a lake area and,,"captures a flock of geese taking flight. 
"
107,The boy is then shown in various clips riding around,,"on his new bicycle. 
"
108,People are dancing,,"on the dance floor. 
"
109,A skier uses a wind drone to,,"gain speed on flat terrain. 
"
110,The skier uses the wind drone to do a few,,"backflips. 
"
111,A little girl is shown in,,"a photograph. 
"
112,There is an old man doing tai chi,,"in the park. 
"
113,He then stands next to some well pruned shrubs and,,"smiles for the camera. 
"
114,A man sits down,,"on a park bench. 
"
115,A man jumps of a diving,,"board. 
"
116,A lemon sits on,,"a table. 
"
117,The man then quickly starts spinning himself along,,"the polished dance floor. 
"
118,There's a man skiing down,,"a mountain. 
"
119,He then falls down to the ground as,,"a single gunshot echoes through the air. 
"
120,Several pairs of shoes are shown as well as a,,"rack. 
"
121,The glasses are laid out on a table and,,"filled with different colored liquids. 
"
122,More shots are shown of people speaking to one another as well,,"as of the bustling city streets. 
"
123,People raft down a narrow,,"river. 
"
124,A balding man appears who is standing next to a,,"woman in a red dress. 
"
125,The man begins to apply a substance to the chair as the,,"woman watches with anticipation. 
"
126,The man then points at a scratch on the a part of,,"the car's door. 
"
127,The man returns later after the chair dries with a,,"hammer. 
"
128,A man spraying a fence grey,,"is painting the town. 
"
129,A man in casually standing behind him,,"with his arms crossed. 
"
130,A man is seen sitting in a bumper car,,"at a carnival. 
"
131,A man is seen holding onto a,,"rope ladder. 
"
132,A man walks up to a,,"hot dog stand. 
"
133,A girl in white top and blue jeans is brushing the fur of the horse,,"in the stable. 
"
134,An athlete performs hammer throw by spins a,,"""heavy ball attached to a steel wire."" 
"
135,Teens drive electric bumper cars in an oval,,"arena. 
"
136,The boy moves back and fourth on the swing,,"like a pendulum. 
"
137,People are working out,,"more often these days. 
"
138,A person holds small,,"objects. 
"
139,The person applies objects continuously,,"to their work. 
"
140,It makes it over the net and the other team of,,"six prepares to set up their attack. 
"
141,A woman puts her hands down on a table,,"and pushes herself up. 
"
142,The manicurist puts some glass clear nail polish on her nails,,"as a base coat. 
"
143,A lady paints her,,"nails. 
"
144,A young child is seen smiling to,,"their grandmother. 
"
145,A man is seen kneeling down to a,,"woman. 
"
146,The person is,,"tall. 
"
147,A man in a canoe talks and paddles in a lake surrounded,,"by mist. 
"
148,The man then uses the paddle in the water,,"to propel the canoe. 
"
149,She turns around and grabs,,"his hand. 
"
150,The lady starts braiding her hair,,"into intricate plaits. 
"
151,"A man wearing a hood is opening a paper, then",,"he reads a threatening message. 
"
152,A tutorial is given on how,,"to bake sourdough bread. 
"
153,A group of kids,,"played tag in the park. 
"
154,A car is driving down,,"the road. 
"
155,A woman is seen performing a dance routine on,,"stage. 
"
156,A person is seen moving down a set,,"of stairs. 
"
157,The man kneels down and begins putting carpeting down,,"in the newly renovated bedroom. 
"
158,The man walks closer to the bull and the bull attacks several people,,", causing chaos and panic in the arena. 
"
159,A black screen appears and quickly white words fly across it,,"""SYSTEM FAILURE."" 
"
160,Various still shots of people walking with dogs or walking alone along a road,,"suggest a quiet, contemplative mood. 
"
161,The kids then play tug of war,,"with the old, frayed rope. 
"
162,We switch the,,"lights off. 
"
163,A boy jumps on,,"a trampoline. 
"
164,First the people are all shown sitting,,"in a circle. 
"
165,He begins by swinging the hammer string,,"backwards. 
"
166,The athlete does another hammer throw and the distance of his,,"throw is measured. 
"
167,A woman dressed in a black tank top and,,"ripped jeans walked into the coffee shop. 
"
168,The white water polo,,"cap bobbed on the surface. 
"
169,The game begins and blue scores while deep,,"in their own territory. 
"
170,White answers with a powerful goal,,"...checkmate. 
"
171,"White scores to take the lead, and blue",,"trails by one. 
"
172,We see a man winding up to throw the,,"ball. 
"
173,A large group of people are at a carnival playing in their own bumper cars,,", their laughter echoing through the air. 
"
174,The people start driving around again where they all continue,,"their daily routines. 
"
175,A man in a blue shirt,,"walked his dog in the park. 
"
176,The girl brushes of the coat,,"the snow. 
"
177,We see men on a,,"raft. 
"
178,People are standing in,,"line. 
"
179,A black screen appears with white words that,,"read, ""Please insert disk."" 
"
180,A man then appears in front of a red door that is leaning up against,,"a weathered, ivy-covered brick wall. 
"
181,The man then grabs a paint brush and begins painting on,,"the canvas. 
"
182,"The man stops painting, and begins talking as he",,"cleans his brushes. 
"
183,"She then take a pan in the sink, put water, put liquid",,"soap, and started washing the dishes. 
"
184,A special effect bowling theme intro appears and the text,,"""STRIKE!"" appears in flashing lights. 
"
185,"There are four men posing in a bowling alley, all are",,"wearing matching shirts. 
"
186,"Large yellow words on the screen appear and it say's ""team",,"eliminated"". 
"
187,The video takes place in a theater,,"filled with eager patrons. 
"
188,The video shows close ups of several of,,"the performer's tattoos. 
"
189,A man taps the top of a piano with a stick,,"and listens to the pitch of each note. 
"
190,People sit at a,,"table 
"
191,There are 3 men,,"There are 3 men and they are going fishing. 
"
192,A woman walks into,,"a bar. 
"
193,The woman performs,,"ballet with grace. 
"
194,The hammer is seen landing,,"on the nail. 
"
195,Betty heidler competes in the olimpic,,"hammer throw. 
"
196,Betty haidler seems really focused and determined,,"to succeed. 
"
197,Betty heidler starts spinning and then with all,,"her might, releases the hammer. 
"
198,A young child is seen walking to the end of,,"the diving board. 
"
199,There are several people gathered on the,,"beach. 
"
200,There are many restaurants and stores in that town square,,", making it a bustling hub of activity. 
"
201,Some of the bystanders are,,"watching in horror. 
"
202,"Cleaning materials sit next to a double sink, then a person",,"opens the refrigerator. 
"
203,"After, the person pours a little bit of blue liquid",,"into the beaker. 
"
204,A person is shown in fast motion spraying liquid,,"onto a freshly baked cake. 
"
205,A man is doing a,,"handstand. 
"
206,A young girl is at a park and grabbing and hanging on triangles,,"on the monkey bars. 
"
207,The pinta rowing team works together,,"in perfect synchronicity. 
"
208,They have a refreshing dip under,,"the waterfall. 
"
209,A man is painting the,,"walls. 
"
210,He stands up a bit and looks at the piece for a,,"moment, deep in thought. 
"
211,A young girl is demonstrating how to,,"braid hair. 
"
212,Then she brings all of her hair to her right,,"shoulder. 
"
213,She takes some hair gel out of an orange container and uses,,"it to slick back her hair. 
"
214,Then she takes a bobby pin and pins the short,,"bangs back. 
"
215,Two men are playing table tennis while,,"a dog watches intently. 
"
216,A news woman is talking,,"...into the camera, a serious expression on her face. 
"
217,A little girl is on a swing,,"and kicking her feet in the air. 
"
218,We see a series,,"of unfortunate events. 
"
219,There's a group of rafters wearing,,"life jackets and helmets. 
"
220,They are rowing the raft through the river,,"current. 
"
221,Some of the rafters are on top of a hill,,"overlooking the valley. 
"
222,A man uses a hose to spray,,"water on his lawn. 
"
223,A small group of girls wearing costumes are seen walking out onto a,,"stage. 
"
224,A young woman is seen brushing her tooth,,"with a bamboo toothbrush. 
"
225,A man is bowling and misses,,"all the pins. 
"
226,He gets all strikes for,,"bowling a perfect game. 
"
227,A man is seen kneeling down on,,"one knee. 
"
228,There's a young man skateboarding through a two lane,,"tunnel. 
"
229,He goes steadily through the long,,"list of names. 
"
230,"Then as he approaches a steep curve, he tries to",,"slow down. 
"
231,Two of them crouch,,"low to the ground. 
"
232,We see a tower,,"in the distance. 
"
233,A girl is seen performing a belly,,"dance. 
"
234,A man is shown in a gym class leading at,,"the front of the room. 
"
235,Multiple men are loaded onto,,"a crowded train. 
"
236,The man that is preparing to bungee jump is,,"nervous. 
"
237,A hand saw sits on,,"a workbench. 
"
238,Two people are seen speaking to the camera with one,,"holding a microphone. 
"
239,A woman wearing a head scarf,,"walked briskly through the park. 
"
240,A man is standing over an,,"open grave. 
"
241,He tosses the pan,,"in the air. 
"
242,There's a woman in a black raincoat,,"standing on the corner. 
"
243,She is joined by a little girl wearing a,,"bright yellow sundress. 
"
244,There are two boys dressed,,"in matching outfits. 
"
245,A group of people,,"gathered in the park. 
"
246,A man lifts a young girl up,,"onto his shoulders. 
"
247,They look in the mirror together as the man,,"adjusts his tie. 
"
248,They rinse and smile at their,,"reflection. 
"
249,The man then teaches,,"the boy to fish. 
"
250,A few kids are seen standing on a stage followed,,"by thunderous applause. 
"
251,A woman jumps onto two bars,,"and begins her uneven bars routine. 
"
252,She jumps off the bars and lands on,,"the mat. 
"
253,A man walks over to another man,,"and asks for the time. 
"
254,The men continue the match while look,,"The men continue the match while onlookers cheer. 
"
255,A cbs news anchor,,"delivers the evening news. 
"
256,The man throws a mop pad on the floor and,,"starts scrubbing. 
"
257,The same man is,,"here again. 
"
258,The man runs water over the mop,,"to rinse out the suds. 
"
259,There are two people talking about,,"politics. 
"
260,They are standing on a street,,"corner. 
"
261,"Henry, the guy dressed in the white shirt is showing how",,"to tie a tie. 
"
262,The name seppe smits appears on screen followed,,"by the title of the film. 
"
263,The lady puts drops of white,,"out. 
"
264,The lady uses a toothpick and,,"dental floss after every meal. 
"
265,A man in a brown sweater,,"sat on a park bench, feeding the pigeons. 
"
266,A man wearing a striped shirt dances with a,,"woman in a red dress. 
"
267,A large group of people are seen standing on each side,,"of the red carpet. 
"
268,A man swings his arms,,"while he walks. 
"
269,A small group of children are seen running around,,"a playground, their laughter echoing through the air. 
"
270,A man is playing a wooden instrument inext,,"A man is playing a wooden instrument inextricably linked to his cultural heritage. 
"
271,Girlwearnig a purple body is in fornt of a balance,,"Girl wearing a purple bodysuit is in front of a balance beam. 
"
272,The girl is doing gymnastics,,"on the balance beam. 
"
273,A man stands in an,,"elevator. 
"
274,The man skates down a halfpipe and goes back,,"up the other side. 
"
275,Woman is standing in the middle,,"of the room. 
"
276,A person is applying,,"for a job. 
"
277,A close up of a painting is shown followed by a,,"wide shot of the entire artwork. 
"
278,An introduction comes onto the screen for a video,,"and the music swells. 
"
279,"Parsley is finely chopped along with some garlic, and the clams",,"are steamed open in white wine. 
"
280,Woman is standing in a green field practicing,,"archery. 
"
281,A boy is standing on a court holding a racquet in his right,,"hand. 
"
282,There two teams of men playing the game,,"There were two teams of men playing the game. 
"
283,There are several people seated in the,,"waiting room. 
"
284,A group of skaters are going,,"to the skate park. 
"
285,A set of kids are in bumper cars,,"at the amusement park. 
"
286,A special effect intro of a man airborn on a waterboard,,"...ended abruptly as the projector flickered and died. 
"
287,The clips of various people waterboarding shows up again and they are all still holding,,"their breath. 
"
288,We see the title,,"""We see the title **emblazoned across the screen.**"" 
"
289,Two men are,,"playing chess in the park. 
"
290,We see a man's face up close with his name imposed,,"...across the screen, signaling the start of a new chapter. 
"
291,The man runs down the track and performs a,,"triple jump. 
"
292,A girl is standing next,,"to the window. 
"
293,A group of boys are,,"playing basketball. 
"
294,She shows herself teaching a spin,,"class. 
"
295,Man is combing a kid's,,"hair. 
"
296,A man holds a tattoo,,"on his forearm. 
"
297,A woman is standing behind,,"a counter. 
"
298,A large playground full,,"of laughing children. 
"
299,"There is an intro that states ""carolyn goes",,"to the store. 
"
300,Several food items are shown laid out as,,"a picnic lunch. 
"
301,A horse in a,,"stable 
"
302,A close up of a pan is,,"revealing. 
"
303,A woman is standing,,"in line at the grocery store. 
"
304,Then she shows another dog that has spots that resemble a giraffe that,,"is wearing a tiny safari hat. 
"
305,"A kitchen in black and white is shown with the words ""washing dishes at",,"night. 
"
306,"A black screen appears with a small picture of jamie trevina in the upper right,",,"...and a single blinking cursor in the center. 
"
307,A woman brushes,,"her hair. 
"
308,An introduction comes onto the screen for,,"a new TV show. 
"
309,He begins to perform a series,,"of acrobatic feats. 
"
310,A dark pink screen appears with white lettering,,"""SYSTEM ERROR."" 
"
311,After a while of tugging the right side wins and,,"the rope snaps. 
"
312,"A foot kicked the ball, and",,"it soared through the air. 
"
313,An elder man is,,"wise. 
"
314,Two men are seen arm wrestling,,"at a crowded bar. 
"
315,A lady enters a gym,,"and heads straight for the free weights. 
"
316,Leaves are blown down a,,"street. 
"
317,A man with short black curly hair is standing,,"in line at the coffee shop. 
"
318,A man is seen standing,,"on a crowded street corner. 
"
319,A man is standing and talking,,"to his neighbor over the fence. 
"
320,A small group of people are seen,,"huddled together in the flickering gaslight. 
"
321,A woman is lying out,,"in the sun. 
"
322,Two women are seen driving and speaking to,,"each other. 
"
323,This video shows colin minor's hammer,,"in action. 
"
324,A man applies peanut,,"butter to his bread. 
"
325,A man stands up and,,"walks away. 
"
326,A woman is rubbing shampoo onto,,"her scalp. 
"
327,A woman is sitting down,,"on a park bench. 
"
328,Two men are standing,,"on a street corner. 
"
329,Two men play squash in a,,"court. 
"
330,A woman is sitting,,"on a park bench. 
"
331,People are sitting in the,,"park. 
"
332,Men are on the,,"moon. 
"
333,A couple of action figures,,"stood on the dusty shelf. 
"
334,A man is holding a,,"fishing rod. 
"
335,A man is seen,,"walking down the street. 
"
336,A woman walks into a,,"library. 
"
337,A large red truck,,"barreled down the highway. 
"
338,A close up is seen,,"in extreme detail. 
"
339,A man in a red tank,,"top. 
"
340,He crosses the monkey bars one,,"hand over hand. 
"
341,He holds up his arms,,"in victory. 
"
342,An asian man walked to the,,"park bench. 
"
343,Woman is talking to the camera in,,"a selfie video. 
"
344,A womans hand is,,"soft and strong. 
"
345,Three men are standing on,,"a bridge. 
"
346,A man is seen sitting on,,"a park bench. 
"
347,The woman use a plastic funnel to pass the juice to,,"a glass bottle. 
"
348,Several men paddle a,,"canoe. 
"
349,A woman rubs,,"lotion on her hands. 
"
350,The woman peels something apart,,"with her teeth. 
"
351,A young woman sits on,,"a weathered park bench. 
"
352,A man reports in a tv set about a,,"missing child last seen at the carnival. 
"
353,"Then, a man jumps from the boat and rescue",,"swims towards the struggling figure in the water. 
"
354,Girl paints the fingernails,,"pink. 
"
355,Different pumpkins with famous,,"Different pumpkins with famous faces carved into them. 
"
356,A woman is seen speaking to the,,"manager. 
"
357,A young man is in,,"trouble. 
"
358,A group of kids are,,"playing tag in the park. 
"
359,A video is shown of an,,"otter juggling pebbles. 
"
360,Instructors are shown giving disabled children a chance,,"to participate. 
"
361,A man in a red,,"hat. 
"
362,An elder man is walking up a,,"hill. 
"
363,The man leads the toddler to,,"the playground. 
"
364,A man is being strapped into a harness and leg straps as he hangs onto,,"a trapeze bar high above the circus ring. 
"
365,A kid is,,"playing. 
"
366,A large group is riding on,,"a Ferris wheel. 
"
367,A man demonstrates how to balance on the parallel bars using a student gymnast,,"as his base. 
"
368,The man is then seen next to a pair of parallel bars,,", his brow furrowed in concentration. 
"
369,A man is standing on the,,"roof. 
"
370,A man and a little girl are,,"walking hand-in-hand. 
"
371,A woman is shown running down the,,"street, her breath forming clouds in the cold air. 
"
372,People are in riding,,"People are in riding boots. 
"
373,Woman is standing talking to the,,"cashier. 
"
374,A man is pushing a,,"car. 
"
375,A video is shown of numerous people,,"dancing in a synchronized flash mob. 
"
376,A bowling lane is seen with,,"ten gleaming pins at the end. 
"
377,A girl is sitting in,,"a coffee shop. 
"
378,Man is knitting a sweater,,"for his dog. 
"
379,A man in a speedo,,"ran into the ocean. 
"
380,A man dressed in protective gear and wearing a metal mask,,"welded the sculpture together with bright sparks. 
"
381,The woman is leaning on the back rest of the dinning chair,,"with her arms crossed. 
"
382,Man carves out a deep,,"niche. 
"
383,A few school photos are,,"tucked away in the attic. 
"
384,A group of girls are on,,"a road trip. 
"
385,A woman with short hair and a black long sleeve turtle neck,,"sat at the piano. 
"
386,"She then begins playing the flute, moving her head",,"gracefully with the melody. 
"
387,A girl is seen pulling on,,"a red wagon. 
"
388,A man playing a,,"trumpet on a street corner. 
"
389,A woman is seen pointing to her,,"watch. 
"
390,A man is playing some,,"video games. 
"
391,A group of teen boys,," formed a garage band. 
"
392,A woman is working,,"from home today. 
"
393,Several girls are in a gymnastics,,"class. 
"
394,A couple of teams are,,"tied for first place. 
"
395,Several black and white,,"photographs adorned the wall. 
"
396,Several people are on some bumper cars at an,,"amusement park. 
"
397,An attendant comes up to one of the cars,,"and asks, ""Can I help you?"" 
"
398,A red machine is,,"powerful. 
"
399,Woman gets out a black car,,"and walks towards the café. 
"
400,An ice rink and,,"a bowling alley. 
"
401,A close up of shoes are shown followed,,"by a shot of the owner's face. 
"
402,A little girl is standing next to a,,"swing set. 
"
403,"Several images appear, showing",,"different angles of the accident. 
"
404,"A boy is balanced on a board, then shows several",,"tricks. 
"
405,We see a lady standing in,,"the doorway. 
"
406,A man is seen playing a guitar while another,,"man sings along. 
"
407,We see a tattoo artist putting,,"a delicate butterfly on a woman's shoulder. 
"
408,Mike tyson is wearing,,"boxing gloves. 
"
409,A woman talks while,,"driving. 
"
410,An orange and yellow ombre website appears on the screen and,,"a robotic voice begins to narrate. 
"
411,A person puts egg,,"in a basket. 
"
412,"Eggs are boiled, onion chopped,",,"and bread toasted. 
"
413,A person is adding,,"numbers. 
"
414,The person add egg,,"to the cake batter. 
"
415,"New reports are giving news about extreme dog grooming,",,"which has sparked controversy among pet owners and animal welfare advocates. 
"
416,The video begins with a,,"close-up shot. 
"
417,"The man turns on the water in the sink,",,"and begins to wash his hands. 
"
418,He then begins to wash,,"his hands. 
"
419,A close up of his shirt,,"revealed a tiny stain. 
"
420,A woman stands in,,"a crowded market. 
"
421,A guy walks,,"away. 
"
422,"A boat approaches, and the",,"figure aboard waves. 
"
423,The guy goes water surfing while holding on,,"to a rope attached to a drone. 
"
424,A large group of people are seen standing on two sides,,"of a busy street. 
"
425,People are playing with a ball,,"in the park. 
"
426,Several people are seen celebrating with one another,,"at a wedding reception. 
"
427,A gymnast is seen standing before a beam with her arms up and,,"eyes closed. 
"
428,A man us cutting up potatoes,,"with a rusty knife. 
"
429,The video begins with several games of,,"rock, paper, scissors. 
"
430,A man from a,,"small town. 
"
431,The girl then puts her case away and puts her shoes,,"on. 
"
432,This man is sitting in a chair outdoors in his yard,,", enjoying the warm sunshine. 
"
433,A close up of the ground is seen,,"covered in a carpet of vibrant wildflowers. 
"
434,Man is standing behind the fence talking to the,,"dog. 
"
435,A person is seen standing before,,"a mirror. 
"
436,A man talks in front of a,,"microphone. 
"
437,He begins to hit the,,"brakes. 
"
438,A small group of people are seen playing a soccer match on,,"a muddy field. 
"
439,A blue cloth with several large pink flowers,,"lay crumpled on the dusty table. 
"
440,A lady then begins to unfold and fold the,,"napkin in her lap. 
"
441,A woman stands by a horse,,", her hand resting gently on its flank. 
"
442,A track and field athlete sets up and bends,,"over starting blocks. 
"
443,A person shows you how to make,,"a perfect omelet. 
"
444,The person first puts slices of bread on a plate,,"and spreads butter on them. 
"
445,The second thing the person did was clean the,,"bathroom. 
"
446,The third thing the person does it put,,"it away. 
"
447,A group of people ride bumper,,"cars. 
"
448,A young boy wearing a white t-shirt driving a bumper car and,,"laughing hysterically as he bumped his dad. 
"
449,2 girls are sitting and,,"3 boys are standing. 
"
450,The man on the left lifts his face screen,,"to take a sip of his drink. 
"
451,A woman is seen kneeling down and speaking to the,,"child beside her. 
"
452,"A title screen appears with ""livermore dog",,"park"". 
"
453,Litle girl wearing pink pants playing,,"in the park. 
"
454,Many people watch the match around the sides and zooms,,"Many people watch the match around the sides and zooms in on the action with their cameras. 
"
455,A red and white race car,,"sped across the finish line. 
"
456,Words come on the,,"tongue. 
"
457,A man is helping a little,,"girl. 
"
458,A man takes a tire,,"to a mechanic. 
"
459,A woman walks gracefully into a,,"ballroom. 
"
460,A person is seen walking into frame and,,"tripping over a carelessly placed banana peel. 
"
461,This video has no audio and,,"no subtitles. 
"
462,Two of the men have removed the tire from the big red truck,,"and are preparing to change the flat. 
"
463,A colorful bowling ball,,"rolled down the lane. 
"
464,A man is seen climbing a set of,,"stairs. 
"
465,There's a little girl dressed in a lime,,"green tutu. 
"
466,"The girl walks by some rocking horses and swings, trying to",,"ignore the longing in her heart. 
"
467,A man is wearing a red,,"tie. 
"
468,A man with a microphone,,"is about to speak. 
"
469,A young boy and his flute are,,"inseparable. 
"
470,We see the crowd in the room and a,,"man wearing a tuxedo. 
"
471,A woman is seen hosting a news segment,,"on climate change. 
"
472,A hand with very glittered gold and silver nails are,,"eye-catching. 
"
473,The first step is a hand holding gold nail polish and she begins,,"to paint her nails a shimmering sunset. 
"
474,The second step is shown and it's pouring the glitter onto the nails before,,"the glue dries. 
"
475,The last step is to apply the clear coat over the,,"paint. 
"
476,The second coat is then applied but you are instructed,,"to wait until the first coat is dry. 
"
477,The skier is,,"descending the slope. 
"
478,He then begins to,,"sing. 
"
479,He jumps the,,"fence. 
"
480,A man is seen sitting on the floor speaking to the,,"wall. 
"
481,The man continues to point to his body and leads into him performing,,"a series of increasingly bizarre poses. 
"
482,A woman holds a bottle with,,"perfume. 
"
483,"After, the woman grabs an empty jug and pours liquid of the bottle in",,"it. 
"
484,"After, the woman scoops sugar and pour in the",,"mug. 
"
485,A man sets straw and sticks on top of,,"a bonfire. 
"
486,The man sparks the flint using a knife onto the,,"tinder. 
"
487,Two men are hiking through to a,,"remote cabin. 
"
488,A group of people sit on a raft,,"drifting down a lazy river. 
"
489,The group of rafters paddle,,"down the river. 
"
490,A man test a square,,"A man tests a square's strength. 
"
491,There's a woman doing a tutorial on how,,"to bake sourdough bread. 
"
492,She begins by preparing the surface and then peels of,,"the protective film. 
"
493,A woman is dancing,,"gracefully on the stage. 
"
494,People are lined up at the,,"box office. 
"
495,An african american toddler's right hand is placed on a white,,"surface. 
"
496,The toddler with the brush continues to dip the brush,,"in the toilet. 
"
497,A man shows to carve a,,"pumpkin. 
"
498,A young man is stepping up and down in a forward motion on a step,,"during a workout. 
"
499,He steps across the step,,"threshold. 
"
500,And then moves around the,,"sun. 
"
501,He proceeds to go all the way,,"home. 
"
502,Several kids are then shown with their life jacket on and they are put into,,"a boat. 
"
503,"As the kids continue with their water sports, some of them",,"splash each other playfully. 
"
504,After the kids go up and down on a bounce house and a young,,"girl trips and falls, her mother rushes to her side. 
"
505,A man is holding a little kids,,"hand. 
"
506,The kid tries climbing,,"the monkey bars. 
"
507,A girl talks,,"to her best friend about her crush. 
"
508,A man prepares to jump from an elevated platform,,"into the waiting arms of firefighters below. 
"
509,The man laughs and bends his knees while holding onto a railing,,"as the train lurches forward. 
"
510,A man blow dries,,"his hair. 
"
511,We see people in raft,,"We see people in raft races. 
"
512,"In this video, a male instructor speaks",,"about... 
"
513,The instructor continues speaking to the camera,,", oblivious to the chaos unfolding behind him. 
"
514,Two men are talking,,"about the game. 
"
515,A woman is seen kneeling,,"in prayer. 
"
